species,order,family,pop,author,class,region,location,lon,lat,hybrid,island,habitat_type,doi_data,doi_paper,num_individuals,num_loci,gene_diversity,allelic_richness,global_fst,Ne,Ne_lower,Ne_upper,migratory_bird
Artibeus_jamaicensis,Chiroptera,Phyllostomidae,ER.40.AJ,Cleary,mammal,SouthAmerica,CostaRica,-84.24584339,10.41098385,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,8,10,0.74296875,5.14088411588412,-0.0639403878690767,30.2,6.3,NA,NA
Artibeus_jamaicensis,Chiroptera,Phyllostomidae,P.11.AJ,Cleary,mammal,SouthAmerica,CostaRica,-84.1222792,10.55847257,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,10,10,0.70091975308642,5.10446204122675,0.00917846123130694,NA,21.4,NA,NA
Artibeus_jamaicensis,Chiroptera,Phyllostomidae,SV.1.AJ,Cleary,mammal,SouthAmerica,CostaRica,-84.06712196,10.44590958,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,21,10,0.708490079365079,4.86747546768172,0.0254281447001782,60.9,18.5,NA,NA
Artibeus_jamaicensis,Chiroptera,Phyllostomidae,ER.19.AJ,Cleary,mammal,SouthAmerica,CostaRica,-84.12852167,10.43423721,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,10,10,0.689666666666667,4.97719244120173,0.0248295502462412,NA,20.4,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.11.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.1222792,10.55847257,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,11,16,0.68775826446281,4.39720467226272,0.00554812976815733,212.8,19.3,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.14.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.08273856,10.44451984,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,14,16,0.688137755102041,4.32679832086297,0.0150499229956407,891.5,38.5,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,BT.9.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.27645746,10.50598904,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,20,16,0.680399930747922,4.05141276418897,0.0367319811550256,15,10.6,22.4,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.PA.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.14815849,10.53484365,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,24,16,0.707411024305556,4.33697229533741,0.00285166598582964,20.8,14.4,32.7,NA
Carollia_castanea,Chiroptera,Phyllostomidae,BT.LL.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.17953917,10.68167235,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,11,16,0.698605371900826,4.55119667484219,-0.0101360529392169,66.8,15.3,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.2.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.16115909,10.52079464,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,8,16,0.68310546875,4.4536245004995,-0.00568286534908746,43.7,12.4,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.10.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.16004684,10.58743268,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,18,16,0.705632716049383,4.41967971388733,-0.00174625996717692,106.9,34.7,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.15.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.13441142,10.47287142,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,12,16,0.701822916666667,4.24043906685308,-0.010777383391537,97.6,22,NA,NA
Carollia_castanea,Chiroptera,Phyllostomidae,ER.36.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.32403278,10.45429568,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,11,16,0.660123966942149,4.23951706188548,0.045505452379801,19.9,9.7,84.7,NA
Carollia_castanea,Chiroptera,Phyllostomidae,P.1.CC,Cleary,mammal,SouthAmerica,CostaRica,-84.16984127,10.54659646,0,0,terrestrial,10.5061/dryad.nv92q,10.1111/mec.14230,9,16,0.685570987654321,4.38440827962887,-0.00189123980732919,57.5,15.5,NA,NA
