species	common_name	order	family	pop	author	class	region	location	lon	lat	hybrid	island	habitat_type	doi_data	doi_paper	num_individuals	num_loci	gene_diversity	allelic_richness	global_fst	Ne	Ne_lower	Ne_upper	migratory	migration notes	source_migratory	mating system	source_matingsys	breeding interval	source_breedingint
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.9.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1816	10.55646	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	24	10	0.68941	4.666766	0.054767	34.6	17.7	127.5	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.1.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1698	10.5466	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	9	10	0.722135	4.973397	-0.02709	32.9	8.6	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	BT.4.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1625	10.66241	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	17	10	0.720062	5.080897	0.00384	40.6	12.6	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.2.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1612	10.52079	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	12	10	0.685133	4.786094	0.039326	NA	17	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.23.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1457	10.42149	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	23	10	0.737159	5.050374	-0.01185	1776	39.2	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.20.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1	10.46542	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	12	10	0.701475	4.932764	0.016818	191.6	14.8	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.3.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1788	10.53256	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	29	10	0.737277	4.922742	-0.00717	56.1	24.3	12743.5	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.15.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1344	10.47287	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	13	10	0.717339	4.988134	-0.00228	85.6	13	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	P.12.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.1233	10.59372	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	27	10	0.738293	4.968436	-0.01009	106.6	33.1	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
Artibeus_jamaicensis	Jamaican fruit-eating bat	Chiroptera	Phyllostomidae	ER.40.AJ	Cleary	mammal	SouthAmerica	CostaRica	-84.2458	10.41098	0	0	terrestrial	10.5061/dryad.nv92q	10.1111/mec.14230	8	10	0.742969	5.140884	-0.06394	30.2	6.3	NA	n		Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	harem	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.	2/yr	Taylor and Tuttle 2018. Bats an illustrated guide to all species. Smithsonian Books.
